2022-03-11 02:43:16 startup archives install
2022-03-11 02:43:16 install base-passwd:armhf <none> 3.5.44
2022-03-11 02:43:16 status half-installed base-passwd:armhf 3.5.44
2022-03-11 02:43:16 status unpacked base-passwd:armhf 3.5.44
2022-03-11 02:43:16 status unpacked base-passwd:armhf 3.5.44
2022-03-11 02:43:16 configure base-passwd:armhf 3.5.44 3.5.44
2022-03-11 02:43:16 status unpacked base-passwd:armhf 3.5.44
2022-03-11 02:43:16 status half-configured base-passwd:armhf 3.5.44
2022-03-11 02:43:16 status installed base-passwd:armhf 3.5.44
2022-03-11 02:43:16 startup archives install
2022-03-11 02:43:16 install base-files:armhf <none> 10.1ubuntu2
2022-03-11 02:43:16 status half-installed base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 configure base-files:armhf 10.1ubuntu2 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status unpacked base-files:armhf 10.1ubuntu2
2022-03-11 02:43:16 status half-configured base-files:armhf 10.1ubuntu2
